,Wagner,Moldaver,Karakatsanis,Côté,Brown,Rowe,Martin,Kasirer,Jamal,Majority
Wagner,1.0,1.0,0.7567567567567568,0.7297297297297297,0.7368421052631579,0.9210526315789473,0.7837837837837838,0.8947368421052632,0.868421052631579,0.9473684210526315
Moldaver,1.0,1.0,0.75,0.7297297297297297,0.7297297297297297,0.918918918918919,0.7777777777777778,0.8918918918918919,0.8648648648648649,0.9459459459459459
Karakatsanis,0.7567567567567568,0.75,1.0,0.5833333333333334,0.7837837837837838,0.7297297297297297,0.918918918918919,0.8648648648648649,0.8918918918918919,0.8108108108108109
Côté,0.7297297297297297,0.7297297297297297,0.5833333333333334,1.0,0.6756756756756757,0.7567567567567568,0.5555555555555556,0.6216216216216216,0.5945945945945946,0.6756756756756757
Brown,0.7368421052631579,0.7297297297297297,0.7837837837837838,0.6756756756756757,1.0,0.7631578947368421,0.8108108108108109,0.6842105263157895,0.7105263157894737,0.7368421052631579
Rowe,0.9210526315789473,0.918918918918919,0.7297297297297297,0.7567567567567568,0.7631578947368421,1.0,0.7567567567567568,0.868421052631579,0.8421052631578947,0.9210526315789473
Martin,0.7837837837837838,0.7777777777777778,0.918918918918919,0.5555555555555556,0.8108108108108109,0.7567567567567568,1.0,0.8918918918918919,0.918918918918919,0.8378378378378378
Kasirer,0.8947368421052632,0.8918918918918919,0.8648648648648649,0.6216216216216216,0.6842105263157895,0.868421052631579,0.8918918918918919,1.0,0.9736842105263158,0.9473684210526315
Jamal,0.868421052631579,0.8648648648648649,0.8918918918918919,0.5945945945945946,0.7105263157894737,0.8421052631578947,0.918918918918919,0.9736842105263158,1.0,0.9210526315789473
